#simulation: 0
%step	%pop	%debt	%gift	

0	200	0	64
1	201	0	69
2	201	0	58
3	202	0	71
4	204	0	77
5	208	0	75
6	209	0	83
7	212	0	77
8	215	0	74
9	217	1	82
10	220	0	95
11	224	1	100
12	227	1	99
13	228	0	107
14	233	2	95
15	233	3	104
16	237	4	107
17	240	6	114
18	242	5	118
19	243	10	111
20	247	10	122
21	246	9	126
22	243	10	113
23	243	10	118
24	242	7	118
25	236	6	110
26	232	10	112
27	231	10	109
28	231	10	111
29	228	8	107
30	221	13	97
31	217	15	94
32	215	13	94
33	213	24	91
34	209	14	83
35	204	16	81
36	202	14	77
37	198	11	77
38	197	18	77
39	193	21	70
40	189	20	73
41	186	18	70
42	185	13	64
43	182	14	55
44	182	15	62
45	180	17	62
46	181	8	66
47	176	18	64
48	174	14	56
49	166	11	55
50	165	12	53
51	162	19	48
52	163	14	49
53	158	9	46
54	160	13	48
55	159	11	50
56	162	14	54
57	161	14	50
58	158	10	52
59	155	10	48
60	155	9	47
61	154	12	44
62	147	8	45
63	144	9	43
64	148	5	47
65	150	11	43
66	152	13	45
67	153	12	49
68	150	15	47
69	147	12	41
70	147	10	39
71	147	10	48
72	145	13	52
73	143	10	45
74	142	12	45
75	141	15	46
76	142	10	39
77	139	13	39
78	138	16	42
79	139	9	38
80	139	13	37
81	136	12	37
82	131	13	35
83	127	6	29
84	126	8	28
85	127	10	27
86	123	8	29
87	120	7	32
88	121	8	33
89	119	7	34
90	115	8	29
91	115	6	27
92	114	9	28
93	113	9	24
94	113	9	31
95	114	11	31
96	114	9	30
97	111	9	27
98	112	10	26
99	112	8	30
100	111	12	31
101	113	14	27
102	113	13	26
103	113	10	27
104	115	13	26
105	111	9	28
106	111	9	25
107	109	9	21
108	108	6	18
109	110	9	20
110	107	7	18
111	105	8	19
112	106	6	19
113	108	8	19
114	107	5	22
115	107	8	20
116	106	10	21
117	107	12	23
118	105	13	25
119	105	13	25
120	105	12	23
121	105	11	24
122	105	18	20
123	107	17	20
124	108	14	23
125	108	15	24
126	107	14	22
127	106	17	22
128	106	12	18
129	105	17	17
130	107	12	20
131	109	7	21
132	106	9	23
133	106	12	20
134	107	12	18
135	107	12	21
136	107	12	23
137	105	11	20
138	104	12	17
139	104	12	15
140	103	13	17
141	103	16	17
